Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
143,2,180,2,0,180,ftp_data,SF,tcp,2,2,150,0.17,0.03,0,normal
68,2,684,2,0,684,other,SF,udp,13,1,255,0,0.6,0,normal
0,1,60,1,0,60,private,S0,tcp,123,6,255,0.1,0.05,0,anomaly
54949,10,628,4,6,248,http,SF,tcp,5,5,30,1,0,8153,normal
54943,8,496,4,4,248,http,SF,tcp,30,32,255,1,0,420,normal
54942,8,496,4,4,248,private,REJ,tcp,121,19,255,0.07,0.07,0,anomaly
54945,8,496,4,4,248,private,S0,tcp,166,9,255,0.04,0.05,0,anomaly
54944,8,496,4,4,248,private,S0,tcp,117,16,255,0.06,0.07,0,anomaly
54946,8,496,4,4,248,remote_job,S0,tcp,270,23,255,0.09,0.05,0,anomaly
54948,8,496,4,4,248,private,S0,tcp,133,8,255,0.05,0.06,0,anomaly
54947,8,496,4,4,248,private,REJ,tcp,205,12,255,0.05,0.07,0,anomaly
54950,20,1276,10,10,644,private,S0,tcp,199,3,255,0.05,0.07,0,anomaly
54953,20,1276,10,10,644,http,SF,tcp,3,7,8,1,0,2251,normal
54951,20,1276,10,10,644,ftp_data,SF,tcp,2,2,2,1,0,0,anomaly
54952,20,1276,10,10,644,name,S0,tcp,233,1,255,0,0.07,0,anomaly
54955,20,1276,10,10,644,netbios_ns,S0,tcp,96,16,255,0.01,0.06,0,anomaly
54954,20,1276,10,10,644,http,SF,tcp,8,9,91,1,0,13788,normal
54956,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,anomaly
54957,20,1276,10,10,644,http,SF,tcp,3,3,66,1,0,616,normal
1740,352,90736,202,150,65536,http,SF,tcp,9,10,157,1,0,1178,normal
54958,18,1152,10,8,644,mtp,S0,tcp,223,23,255,0.09,0.05,0,anomaly
54959,20,1276,10,10,644,private,S0,tcp,280,17,238,0.07,0.06,0,anomaly
54960,20,1276,10,10,644,http,SF,tcp,8,10,87,1,0,11905,normal
54961,20,1276,10,10,644,other,SF,udp,1,1,255,0,0.85,105,normal
54963,20,1276,10,10,644,mtp,S0,tcp,248,2,255,0.01,0.06,0,anomaly
54962,20,1276,10,10,644,telnet,SF,tcp,1,1,255,0.1,0.05,14421,normal
54965,20,1276,10,10,644,private,S0,tcp,279,7,255,0.05,0.07,0,anomaly
54964,20,1276,10,10,644,http,SF,tcp,5,22,43,1,0,6588,normal
135,1,78,1,0,78,http,SF,tcp,14,14,255,1,0,10499,normal
137,10,940,10,0,940,http,SF,tcp,33,33,255,1,0,1400,normal
54966,18,1152,10,8,644,eco_i,SF,icmp,1,12,1,1,0,0,anomaly
54969,18,1152,10,8,644,finger,S0,tcp,57,16,255,0.23,0.04,0,anomaly
54968,18,1152,10,8,644,http,SF,tcp,9,9,9,1,0,555,normal
54967,18,1152,10,8,644,private,REJ,tcp,2,1,255,0,0.31,0,anomaly
54970,18,1152,10,8,644,domain_u,SF,udp,181,181,255,0.98,0.01,45,normal
54971,18,1152,10,8,644,private,SF,udp,2,2,41,0.12,0.05,147,normal
54972,18,1152,10,8,644,domain_u,SF,udp,122,202,255,1,0,43,normal
54973,18,1152,10,8,644,supdup,S0,tcp,205,17,255,0.07,0.07,0,anomaly
54978,20,1276,10,10,644,http,SF,tcp,22,28,255,1,0,2302,normal
54975,20,1276,10,10,644,uucp_path,S0,tcp,228,13,255,0.05,0.07,0,anomaly
54976,20,1276,10,10,644,ftp_data,S0,tcp,50,11,255,0.25,0.02,0,anomaly
54974,20,1276,10,10,644,Z39_50,S0,tcp,262,12,255,0.04,0.07,0,anomaly
54977,20,1276,10,10,644,smtp,SF,tcp,1,2,181,0.81,0.02,372,normal
54979,20,1276,10,10,644,other,SF,udp,4,2,255,0.01,0.66,105,normal
54980,20,1276,10,10,644,http,SF,tcp,11,11,255,1,0,3006,normal
54981,20,1276,10,10,644,csnet_ns,S0,tcp,108,11,255,0.04,0.07,0,anomaly
54982,18,1152,10,8,644,private,SF,udp,80,80,255,0.31,0.02,0,anomaly
54984,18,1152,10,8,644,http,SF,tcp,44,44,255,1,0,861,normal
54983,18,1152,10,8,644,ftp_data,SF,tcp,2,2,4,1,0,0,anomaly
54985,18,1152,10,8,644,ftp_data,S0,tcp,258,17,255,0.02,0.07,0,anomaly
54986,18,1152,10,8,644,http,SF,tcp,10,10,131,1,0,498,normal
54987,18,1152,10,8,644,private,REJ,tcp,61,4,255,0.02,0.08,0,anomaly
54988,18,1152,10,8,644,private,SF,udp,2,2,255,0.01,0.02,0,anomaly
54989,18,1152,10,8,644,http,SF,tcp,26,42,26,1,0,1398,normal
54990,20,1276,10,10,644,domain_u,SF,udp,120,120,255,0.96,0.01,69,normal
54992,20,1276,10,10,644,domain_u,SF,udp,73,75,122,0.88,0.02,133,normal
